,Month,Climo Subset A,Control Subset A,RCP4.5 Subset A,RCP8.5 Subset A,Control Subset B,RCP4.5 Subset B,RCP8.5 Subset B,Control ET Complete Rate,RCP4.5 ET Complete Rate,RCP8.5 ET Complete Rate,P Values Climo A,P Values RCP4.5 A,P Values RCP8.5 A,P Values RCP4.5 B,P Values RCP8.5 B,P Values RCP4.5 Rate,P Values RCP8.5 Rate
0,Jan,3.5,30.0,18.3,22.6,8.9,6.5,8.6,0.296,0.353,0.381,0.0,0.092,0.308,0.541,0.943,0.672,0.523
1,Feb,0.6,14.4,24.7,21.5,7.8,7.5,9.7,0.538,0.304,0.45,0.0,0.1,0.236,0.939,0.65,0.141,0.595
2,Mar,0.6,27.8,20.4,28.0,7.8,5.4,12.9,0.28,0.263,0.462,0.0,0.286,0.979,0.509,0.262,0.903,0.164
3,Apr,1.7,23.3,23.7,16.1,10.0,6.5,8.6,0.429,0.273,0.533,0.0,0.953,0.251,0.389,0.745,0.266,0.516
4,May,18.6,27.8,16.1,30.1,14.4,5.4,16.1,0.52,0.333,0.536,0.177,0.077,0.762,0.043,0.758,0.241,0.898
5,Jun,65.7,36.7,16.1,21.5,20.0,11.8,14.0,0.545,0.733,0.65,0.004,0.005,0.046,0.146,0.303,0.199,0.428
6,Jul,84.3,37.8,11.8,8.6,20.0,3.2,4.3,0.529,0.273,0.5,0.0,0.0,0.0,0.0,0.001,0.121,0.877
7,Aug,255.2,142.2,73.1,58.1,67.8,36.6,28.0,0.477,0.5,0.481,0.0,0.0,0.0,0.002,0.0,0.74,0.947
8,Sep,412.2,191.1,105.4,84.9,77.8,38.7,32.3,0.407,0.367,0.38,0.0,0.0,0.0,0.0,0.0,0.5,0.676
9,Oct,250.6,107.8,91.4,62.4,46.7,43.0,40.9,0.433,0.471,0.655,0.0,0.245,0.001,0.696,0.535,0.598,0.005
10,Nov,70.9,55.6,55.9,62.4,21.1,26.9,30.1,0.38,0.481,0.483,0.174,0.977,0.531,0.403,0.208,0.278,0.26
11,Dec,14.0,26.7,37.6,21.5,11.1,12.9,7.5,0.417,0.343,0.35,0.047,0.174,0.454,0.713,0.404,0.553,0.635
12,Total,1177.9,721.1,494.6,437.6,313.3,204.3,212.9,0.435,0.413,0.486,0.0,0.0,0.0,0.0,0.0,0.458,0.085
